model,hardware,tp,batch_size,prompt_plus_token_size,token_time,layer_time,Matmul,BatchedMatmul,Softmax,LayerNorm,GeLU,AllReduce,Others
Bloom-176B,H100x8,8,1,1280,0.029634,0.00042334,0.00032382,4.2216e-05,6.3296e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,1408,0.029674,0.00042391,0.00032382,4.2769e-05,6.3417e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,1152,0.029597,0.00042281,0.00032382,4.1691e-05,6.3174e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,1088,0.029577,0.00042253,0.00032382,4.1415e-05,6.3114e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,2049,0.029866,0.00042666,0.00032382,4.5455e-05,6.4033e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,2050,0.029866,0.00042666,0.00032382,4.5458e-05,6.4033e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,2052,0.029867,0.00042667,0.00032382,4.5463e-05,6.4033e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,2056,0.029868,0.00042668,0.00032382,4.548e-05,6.4043e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,1792,0.029789,0.00042555,0.00032382,4.4374e-05,6.3791e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,1664,0.029751,0.00042501,0.00032382,4.3847e-05,6.3669e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,1920,0.029826,0.00042609,0.00032382,4.4899e-05,6.3912e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,2048,0.029866,0.00042665,0.00032382,4.5452e-05,6.4033e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,1552,0.029717,0.00042453,0.00032382,4.3375e-05,6.3548e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,1544,0.029713,0.00042447,0.00032382,4.332e-05,6.3548e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,1568,0.029721,0.00042459,0.00032382,4.3431e-05,6.3568e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,1600,0.029731,0.00042473,0.00032382,4.357e-05,6.3599e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,2304,0.029945,0.00042778,0.00032382,4.653e-05,6.4508e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,2560,0.030022,0.00042889,0.00032382,4.7583e-05,6.5053e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,2432,0.029984,0.00042834,0.00032382,4.7059e-05,6.4781e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,2816,0.030101,0.00043002,0.00032382,4.8661e-05,6.5609e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,2064,0.02987,0.00042671,0.00032382,4.5509e-05,6.4043e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,2080,0.029875,0.00042679,0.00032382,4.5587e-05,6.4063e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,2112,0.029886,0.00042694,0.00032382,4.573e-05,6.4094e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,2176,0.029904,0.0004272,0.00032382,4.5977e-05,6.4235e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
