model,hardware,tp,batch_size,prompt_size,prompt_time,layer_time,Matmul,BatchedMatmul,Softmax,LayerNorm,GeLU,AllReduce,Others
Bloom-176B,H100x8,8,4,6144,2.8487,0.040696,0.022199,0.0041233,0.0053347,0.0018738,0.00044994,0.0054539,0.0012612
Bloom-176B,H100x8,8,4,7168,3.4468,0.04924,0.025862,0.0055814,0.0072592,0.0021843,0.0005241,0.0063577,0.0014714
Bloom-176B,H100x8,8,4,8192,4.0899,0.058427,0.029524,0.0072555,0.0096113,0.0024947,0.00059826,0.0072616,0.0016816
Bloom-176B,H100x8,8,4,1536,0.60923,0.0087033,0.0057355,0.0003297,0.00034111,0.0004768,0.00011838,0.0013865,0.00031529
Bloom-176B,H100x8,8,4,2048,0.8179,0.011684,0.007531,0.00051053,0.00059853,0.00063202,0.00015329,0.0018384,0.00042039
Bloom-176B,H100x8,8,4,3072,1.2735,0.018193,0.011212,0.0010985,0.0013397,0.00094248,0.00022745,0.0027423,0.00063059
Bloom-176B,H100x8,8,4,4096,1.7604,0.025149,0.014874,0.0018593,0.0023741,0.0012529,0.00030161,0.0036462,0.00084078
Bloom-176B,H100x8,8,6,1,0.029438,0.00042055,0.00032467,3.6857e-05,6.2346e-06,1.4395e-05,6.0547e-06,3.2025e-05,3.079e-07
Bloom-176B,H100x8,8,6,2,0.029616,0.00042309,0.00032572,3.6154e-05,6.2649e-06,1.4805e-05,6.1779e-06,3.3349e-05,6.1581e-07
Bloom-176B,H100x8,8,6,4,0.030097,0.00042995,0.00032815,3.6226e-05,6.2983e-06,1.5625e-05,6.4244e-06,3.5997e-05,1.2316e-06
Bloom-176B,H100x8,8,6,8,0.031127,0.00044467,0.00033289,3.6394e-05,6.2609e-06,1.8403e-05,6.9739e-06,4.1293e-05,2.4632e-06
Bloom-176B,H100x8,8,4,10240,5.5524,0.07932,0.036849,0.01134,0.016097,0.0031157,0.00074658,0.0090693,0.002102
Bloom-176B,H100x8,8,4,12288,7.2287,0.10327,0.044174,0.016227,0.024837,0.0037358,0.00089491,0.010877,0.0025223
Bloom-176B,H100x8,8,4,14336,8.8468,0.12638,0.051498,0.022136,0.031721,0.0043567,0.0010432,0.012685,0.0029427
Bloom-176B,H100x8,8,4,16384,10.874,0.15535,0.058823,0.028827,0.043674,0.0049776,0.0011916,0.014493,0.0033631
Bloom-176B,H100x8,8,6,16,0.033133,0.00047333,0.00034187,3.6737e-05,6.3215e-06,2.3251e-05,8.334e-06,5.1885e-05,4.9265e-06
